Case_ID,Timestamp,Activity
case_id1617942481,2024-10-01T23:13:10+01:00,c
case_id1617942481,2024-10-01T23:13:10+01:00,e
case_id1617942481,2024-10-01T23:13:10+01:00,a
case_id1617942481,2024-10-01T23:13:10+01:00,D
case_id1617942481,2024-10-01T23:13:10+01:00,F
case_id1617942481,2024-10-01T23:13:10+01:00,f
case_id1617942481,2024-10-01T23:13:10+01:00,d
case_id1617942481,2024-10-01T23:13:10+01:00,b
case_id1617942481,2024-10-01T23:13:10+01:00,g
case_id1617942481,2024-10-01T23:13:10+01:00,K
case_id1617942481,2024-10-01T23:13:10+01:00,E
case_id1617942481,2024-10-01T23:13:10+01:00,A
case_id891074235,2024-10-01T23:13:10+01:00,e
case_id891074235,2024-10-01T23:13:10+01:00,f
case_id891074235,2024-10-01T23:13:10+01:00,g
case_id891074235,2024-10-01T23:13:10+01:00,b
case_id891074235,2024-10-01T23:13:10+01:00,a
case_id891074235,2024-10-01T23:13:10+01:00,F
case_id891074235,2024-10-01T23:13:10+01:00,c
case_id891074235,2024-10-01T23:13:10+01:00,K
case_id891074235,2024-10-01T23:13:10+01:00,E
case_id891074235,2024-10-01T23:13:10+01:00,d
case_id891074235,2024-10-01T23:13:10+01:00,D
case_id891074235,2024-10-01T23:13:10+01:00,A
case_id366867461,2024-10-01T23:13:10+01:00,d
case_id366867461,2024-10-01T23:13:10+01:00,e
case_id366867461,2024-10-01T23:13:10+01:00,F
case_id366867461,2024-10-01T23:13:10+01:00,b
case_id366867461,2024-10-01T23:13:10+01:00,a
case_id366867461,2024-10-01T23:13:10+01:00,f
case_id366867461,2024-10-01T23:13:10+01:00,c
case_id366867461,2024-10-01T23:13:10+01:00,D
case_id366867461,2024-10-01T23:13:10+01:00,g
case_id366867461,2024-10-01T23:13:10+01:00,K
case_id366867461,2024-10-01T23:13:10+01:00,E
case_id366867461,2024-10-01T23:13:10+01:00,A
case_id877109256,2024-10-01T23:13:10+01:00,a
case_id877109256,2024-10-01T23:13:10+01:00,b
case_id877109256,2024-10-01T23:13:10+01:00,c
case_id877109256,2024-10-01T23:13:10+01:00,e
case_id877109256,2024-10-01T23:13:10+01:00,F
case_id877109256,2024-10-01T23:13:10+01:00,d
case_id877109256,2024-10-01T23:13:10+01:00,f
case_id877109256,2024-10-01T23:13:10+01:00,D
case_id877109256,2024-10-01T23:13:10+01:00,g
case_id877109256,2024-10-01T23:13:10+01:00,K
case_id877109256,2024-10-01T23:13:10+01:00,E
case_id877109256,2024-10-01T23:13:10+01:00,A
case_id460654550,2024-10-01T23:13:10+01:00,b
case_id460654550,2024-10-01T23:13:10+01:00,g
case_id460654550,2024-10-01T23:13:10+01:00,c
case_id460654550,2024-10-01T23:13:10+01:00,a
case_id460654550,2024-10-01T23:13:10+01:00,d
case_id460654550,2024-10-01T23:13:10+01:00,D
case_id460654550,2024-10-01T23:13:10+01:00,e
case_id460654550,2024-10-01T23:13:10+01:00,F
case_id460654550,2024-10-01T23:13:10+01:00,f
case_id460654550,2024-10-01T23:13:10+01:00,K
case_id460654550,2024-10-01T23:13:10+01:00,E
case_id460654550,2024-10-01T23:13:10+01:00,A
case_id1150281707,2024-10-01T23:13:10+01:00,e
case_id1150281707,2024-10-01T23:13:10+01:00,f
case_id1150281707,2024-10-01T23:13:10+01:00,a
case_id1150281707,2024-10-01T23:13:10+01:00,F
case_id1150281707,2024-10-01T23:13:10+01:00,c
case_id1150281707,2024-10-01T23:13:10+01:00,g
case_id1150281707,2024-10-01T23:13:10+01:00,D
case_id1150281707,2024-10-01T23:13:10+01:00,b
case_id1150281707,2024-10-01T23:13:10+01:00,d
case_id1150281707,2024-10-01T23:13:10+01:00,K
case_id1150281707,2024-10-01T23:13:10+01:00,E
case_id1150281707,2024-10-01T23:13:10+01:00,A
case_id1196022463,2024-10-01T23:13:10+01:00,e
case_id1196022463,2024-10-01T23:13:10+01:00,F
case_id1196022463,2024-10-01T23:13:10+01:00,b
case_id1196022463,2024-10-01T23:13:10+01:00,g
