Case_ID,Timestamp,Activity
case_id1404973499,2024-10-01T23:13:09+01:00,D
case_id1404973499,2024-10-01T23:13:09+01:00,b
case_id1404973499,2024-10-01T23:13:09+01:00,c
case_id1404973499,2024-10-01T23:13:09+01:00,C
case_id1404973499,2024-10-01T23:13:09+01:00,d
case_id1404973499,2024-10-01T23:13:09+01:00,B
case_id1404973499,2024-10-01T23:13:09+01:00,A
case_id940533470,2024-10-01T23:13:09+01:00,a
case_id940533470,2024-10-01T23:13:09+01:00,D
case_id940533470,2024-10-01T23:13:09+01:00,b
case_id940533470,2024-10-01T23:13:09+01:00,c
case_id940533470,2024-10-01T23:13:09+01:00,C
case_id940533470,2024-10-01T23:13:09+01:00,d
case_id940533470,2024-10-01T23:13:09+01:00,B
case_id940533470,2024-10-01T23:13:09+01:00,A
case_id304091525,2024-10-01T23:13:09+01:00,a
case_id304091525,2024-10-01T23:13:09+01:00,D
case_id304091525,2024-10-01T23:13:09+01:00,b
case_id304091525,2024-10-01T23:13:09+01:00,c
case_id304091525,2024-10-01T23:13:09+01:00,C
case_id304091525,2024-10-01T23:13:09+01:00,d
case_id304091525,2024-10-01T23:13:09+01:00,B
case_id304091525,2024-10-01T23:13:09+01:00,A
case_id1025406842,2024-10-01T23:13:09+01:00,a
case_id1025406842,2024-10-01T23:13:09+01:00,D
case_id1025406842,2024-10-01T23:13:09+01:00,b
case_id1025406842,2024-10-01T23:13:09+01:00,c
case_id1025406842,2024-10-01T23:13:09+01:00,C
case_id1025406842,2024-10-01T23:13:09+01:00,d
case_id1025406842,2024-10-01T23:13:09+01:00,B
case_id1025406842,2024-10-01T23:13:09+01:00,A
case_id682108623,2024-10-01T23:13:09+01:00,a
case_id682108623,2024-10-01T23:13:09+01:00,D
case_id682108623,2024-10-01T23:13:09+01:00,b
case_id682108623,2024-10-01T23:13:09+01:00,c
case_id682108623,2024-10-01T23:13:09+01:00,C
case_id682108623,2024-10-01T23:13:09+01:00,d
case_id682108623,2024-10-01T23:13:09+01:00,B
case_id682108623,2024-10-01T23:13:09+01:00,A
case_id128455549,2024-10-01T23:13:09+01:00,a
case_id128455549,2024-10-01T23:13:09+01:00,D
case_id128455549,2024-10-01T23:13:09+01:00,b
case_id128455549,2024-10-01T23:13:09+01:00,c
case_id128455549,2024-10-01T23:13:09+01:00,C
case_id128455549,2024-10-01T23:13:09+01:00,d
case_id128455549,2024-10-01T23:13:09+01:00,B
case_id128455549,2024-10-01T23:13:09+01:00,A
case_id728250200,2024-10-01T23:13:09+01:00,a
case_id728250200,2024-10-01T23:13:09+01:00,D
case_id728250200,2024-10-01T23:13:09+01:00,b
case_id728250200,2024-10-01T23:13:09+01:00,c
case_id728250200,2024-10-01T23:13:09+01:00,C
case_id728250200,2024-10-01T23:13:09+01:00,d
case_id728250200,2024-10-01T23:13:09+01:00,B
case_id728250200,2024-10-01T23:13:09+01:00,A
case_id1867005576,2024-10-01T23:13:09+01:00,a
case_id1867005576,2024-10-01T23:13:09+01:00,D
case_id1867005576,2024-10-01T23:13:09+01:00,b
case_id1867005576,2024-10-01T23:13:09+01:00,c
case_id1867005576,2024-10-01T23:13:09+01:00,C
case_id1867005576,2024-10-01T23:13:09+01:00,d
case_id1867005576,2024-10-01T23:13:09+01:00,B
case_id1867005576,2024-10-01T23:13:09+01:00,A
case_id2105434724,2024-10-01T23:13:09+01:00,a
case_id2105434724,2024-10-01T23:13:09+01:00,D
case_id2105434724,2024-10-01T23:13:09+01:00,b
case_id2105434724,2024-10-01T23:13:09+01:00,c
case_id2105434724,2024-10-01T23:13:09+01:00,C
case_id2105434724,2024-10-01T23:13:09+01:00,d
