Case_ID,Timestamp,Activity
case_id385563239,2024-10-01T23:13:09+01:00,F
case_id385563239,2024-10-01T23:13:09+01:00,f
case_id385563239,2024-10-01T23:13:09+01:00,g
case_id385563239,2024-10-01T23:13:09+01:00,K
case_id385563239,2024-10-01T23:13:09+01:00,E
case_id385563239,2024-10-01T23:13:09+01:00,A
case_id366749660,2024-10-01T23:13:09+01:00,e
case_id366749660,2024-10-01T23:13:09+01:00,F
case_id366749660,2024-10-01T23:13:09+01:00,f
case_id366749660,2024-10-01T23:13:09+01:00,g
case_id366749660,2024-10-01T23:13:09+01:00,K
case_id366749660,2024-10-01T23:13:09+01:00,E
case_id366749660,2024-10-01T23:13:09+01:00,A
case_id789783378,2024-10-01T23:13:09+01:00,e
case_id789783378,2024-10-01T23:13:09+01:00,F
case_id789783378,2024-10-01T23:13:09+01:00,f
case_id789783378,2024-10-01T23:13:09+01:00,g
case_id789783378,2024-10-01T23:13:09+01:00,K
case_id789783378,2024-10-01T23:13:09+01:00,E
case_id789783378,2024-10-01T23:13:09+01:00,A
case_id2103856330,2024-10-01T23:13:09+01:00,e
case_id2103856330,2024-10-01T23:13:09+01:00,F
case_id2103856330,2024-10-01T23:13:09+01:00,f
case_id2103856330,2024-10-01T23:13:09+01:00,g
case_id2103856330,2024-10-01T23:13:09+01:00,K
case_id2103856330,2024-10-01T23:13:09+01:00,E
case_id2103856330,2024-10-01T23:13:09+01:00,A
case_id1700397668,2024-10-01T23:13:09+01:00,e
case_id1700397668,2024-10-01T23:13:09+01:00,F
case_id1700397668,2024-10-01T23:13:09+01:00,f
case_id1700397668,2024-10-01T23:13:09+01:00,g
case_id1700397668,2024-10-01T23:13:09+01:00,K
case_id1700397668,2024-10-01T23:13:09+01:00,E
case_id1700397668,2024-10-01T23:13:09+01:00,A
case_id1566413671,2024-10-01T23:13:09+01:00,e
case_id1566413671,2024-10-01T23:13:09+01:00,F
case_id1566413671,2024-10-01T23:13:09+01:00,f
case_id1566413671,2024-10-01T23:13:09+01:00,g
case_id1566413671,2024-10-01T23:13:09+01:00,K
case_id1566413671,2024-10-01T23:13:09+01:00,E
case_id1566413671,2024-10-01T23:13:09+01:00,A
case_id1634559186,2024-10-01T23:13:09+01:00,e
case_id1634559186,2024-10-01T23:13:09+01:00,F
case_id1634559186,2024-10-01T23:13:09+01:00,f
case_id1634559186,2024-10-01T23:13:09+01:00,g
case_id1634559186,2024-10-01T23:13:09+01:00,K
case_id1634559186,2024-10-01T23:13:09+01:00,E
case_id1634559186,2024-10-01T23:13:09+01:00,A
case_id1083129793,2024-10-01T23:13:09+01:00,e
case_id1083129793,2024-10-01T23:13:09+01:00,F
case_id1083129793,2024-10-01T23:13:09+01:00,f
case_id1083129793,2024-10-01T23:13:09+01:00,g
case_id1083129793,2024-10-01T23:13:09+01:00,K
case_id1083129793,2024-10-01T23:13:09+01:00,E
case_id1083129793,2024-10-01T23:13:09+01:00,A
case_id1971544972,2024-10-01T23:13:09+01:00,e
case_id1971544972,2024-10-01T23:13:09+01:00,F
case_id1971544972,2024-10-01T23:13:09+01:00,f
case_id1971544972,2024-10-01T23:13:09+01:00,g
case_id1971544972,2024-10-01T23:13:09+01:00,K
case_id1971544972,2024-10-01T23:13:09+01:00,E
case_id1971544972,2024-10-01T23:13:09+01:00,A
case_id1758601899,2024-10-01T23:13:09+01:00,e
case_id1758601899,2024-10-01T23:13:09+01:00,F
case_id1758601899,2024-10-01T23:13:09+01:00,f
case_id1758601899,2024-10-01T23:13:09+01:00,g
case_id1758601899,2024-10-01T23:13:09+01:00,K
case_id1758601899,2024-10-01T23:13:09+01:00,E
case_id1758601899,2024-10-01T23:13:09+01:00,A
case_id515005846,2024-10-01T23:13:09+01:00,e
case_id515005846,2024-10-01T23:13:09+01:00,F
case_id515005846,2024-10-01T23:13:09+01:00,f
case_id515005846,2024-10-01T23:13:09+01:00,g
case_id515005846,2024-10-01T23:13:09+01:00,K
case_id515005846,2024-10-01T23:13:09+01:00,E
case_id515005846,2024-10-01T23:13:09+01:00,A
case_id1796743383,2024-10-01T23:13:09+01:00,e
case_id1796743383,2024-10-01T23:13:09+01:00,F
case_id1796743383,2024-10-01T23:13:09+01:00,f
case_id1796743383,2024-10-01T23:13:09+01:00,g
case_id1796743383,2024-10-01T23:13:09+01:00,K
case_id1796743383,2024-10-01T23:13:09+01:00,E
case_id1796743383,2024-10-01T23:13:09+01:00,A
case_id1795454485,2024-10-01T23:13:09+01:00,e
case_id1795454485,2024-10-01T23:13:09+01:00,F
case_id1795454485,2024-10-01T23:13:09+01:00,f
case_id1795454485,2024-10-01T23:13:09+01:00,g
case_id1795454485,2024-10-01T23:13:09+01:00,K
case_id1795454485,2024-10-01T23:13:09+01:00,E
case_id1795454485,2024-10-01T23:13:09+01:00,A
case_id567292660,2024-10-01T23:13:09+01:00,e
case_id567292660,2024-10-01T23:13:09+01:00,F
case_id567292660,2024-10-01T23:13:09+01:00,f
case_id567292660,2024-10-01T23:13:09+01:00,g
case_id567292660,2024-10-01T23:13:09+01:00,K
